City, State,  Region, Political Leaning
Cedartown, GA,  South, RED
Celina, OH,  Midwest, RED
Central City, KY,  South, RED
Centralia, IL,  Midwest, BLUE
Centralia, WA,  West, BLUE
Charleston-Mattoon, IL,  Midwest, BLUE
Chillicothe, OH,  Midwest, RED
Clarksburg, WV,  South, RED
Clarksdale, MS,  South, RED
Clearlake, CA,  West, BLUE
Cleveland, MS,  South, RED
Clewiston, FL,  South, RED
Clinton, IA,  Midwest, RED
Clovis, NM,  West, BLUE
Coffeyville, KS,  Midwest, RED
Coldwater, MI,  Midwest, RED
Columbus, MS,  South, RED
Columbus, NE,  Midwest, RED
Concord, NH,  Northeast, BLUE
Connersville, IN,  Midwest, RED
Cookeville, TN,  South, RED
Coos Bay, OR,  West, BLUE
Cordele, GA,  South, RED
Corinth, MS,  South, RED
Cornelia, GA,  South, RED
Corning, NY,  Northeast, BLUE
Corsicana, TX,  South, RED
Cortland, NY,  Northeast, BLUE
Coshocton, OH,  Midwest, RED
Craig, CO,  West, BLUE
Crawfordsville, IN,  Midwest, RED
Crescent City, CA,  West, BLUE
Crossville, TN,  South, RED
Cullman, AL,  South, RED
Cullowhee, NC,  South, RED
Danville, KY,  South, RED
Danville, VA,  South, BLUE
Dayton, TN,  South, RED
Decatur, IN,  Midwest, RED
Defiance, OH,  Midwest, RED
Del Rio, TX,  South, RED
Deming, NM,  West, BLUE
DeRidder, LA,  South, RED
Dickinson, ND,  Midwest, RED
Dixon, IL,  Midwest, BLUE
Dodge City, KS,  Midwest, RED
Douglas, GA,  South, RED
Dublin, GA,  South, RED
DuBois, PA,  Northeast, RED
Dumas, TX,  South, RED
Duncan, OK,  South, RED
Durango, CO,  West, BLUE
Durant, OK,  South, RED
Dyersburg, TN,  South, RED
Eagle Pass, TX,  South, RED
Easton, MD,  South, BLUE
Edwards, CO,  West, BLUE
Effingham, IL,  Midwest, BLUE
El Campo, TX,  South, RED
El Dorado, AR,  South, RED
Elizabeth City, NC,  South, RED
Elk City, OK,  South, RED
Elkins, WV,  South, RED
Elko, NV,  West, BLUE
Ellensburg, WA,  West, BLUE
Emporia, KS,  Midwest, RED
Enterprise, AL,  South, RED
Escanaba, MI,  Midwest, RED
ola, NM,  West, BLUE
Eufaula, AL,  South, RED
Eureka-Arcata, CA,  West, BLUE
Evanston, WY,  West, RED
Fairfield, IA,  Midwest, RED
Fairmont, MN,  Midwest, BLUE
Fairmont, WV,  South, RED
Fallon, NV,  West, BLUE
Faribault-Northfield, MN,  Midwest, BLUE
Farmington, MO,  Midwest, RED
Fergus Falls, MN,  Midwest, BLUE
Fernley, NV,  West, BLUE
Findlay, OH,  Midwest, RED
Fitzgerald, GA,  South, RED
Forest City, NC,  South, RED
Forrest City, AR,  South, RED
Fort Dodge, IA,  Midwest, RED
Fort Leonard Wood, MO,  Midwest, RED
Fort Madison-Keokuk, IA,  Midwest, RED
Fort Morgan, CO,  West, BLUE
Fort Payne, AL,  South, RED
Fort Polk South, LA,  South, RED
Frankfort, IN,  Midwest, RED
Frankfort, KY,  South, RED
Fredericksburg, TX,  South, RED
Freeport, IL,  Midwest, BLUE
Fremont, NE,  Midwest, RED
Fremont, OH,  Midwest, RED
Gaffney, SC,  South, RED
Gainesville, TX,  South, RED
Galesburg, IL,  Midwest, BLUE
Gallup, NM,  West, BLUE
Garden City, KS,  Midwest, RED
Gardnerville Ranchos, NV,  West, BLUE
Georgetown, SC,  South, RED
Gillette, WY,  West, RED
Glasgow, KY,  South, RED
Glenwood Springs, CO,  West, BLUE
Gloversville, NY,  Northeast, BLUE
Granbury, TX,  South, RED
Grand Rapids, MN,  Midwest, BLUE
Grants, NM,  West, BLUE
Great Bend, KS,  Midwest, RED
Greeneville, TN,  South, RED
Greensburg, IN,  Midwest, RED
Greenville, MS,  South, RED
Greenville, OH,  Midwest, RED
Greenwood, MS,  South, RED
Greenwood, SC,  South, RED
Grenada, MS,  South, RED
Guymon, OK,  South, RED
Hailey, ID,  West, RED
Hannibal, MO,  Midwest, RED
Harrison, AR,  South, RED
