Index,  Total Population Change - Decade,  Natural Increase - Decade,  Births - Decade,  Deaths - Decade,  Total - Decade,  International - Decade,  Domestic - Decade,  Total Population Change - Annual,  Natural Increase - Annual,  Births - Annual,  Deaths - Annual,  Total - Annual,  International - Annual,  Domestic - Annual
1, 19481418, 11621558, 36275313, 24653755, 7859860, 7859860, 0, 1552022, 956674, 3791712, 2835038, 595348, 595348, 0
2, 6808, 6432, 21881, 15449, 431, 3167, -2736, 910, 609, 2361, 1752, 310, 220, 90
3, 283, 3307, 69159, 65852, -2597, 13086, -15683, -376, 0, 7196, 7196, -354, 836, -1190
4, -7307, 5423, 18764, 13341, -12853, 865, -13718, -1114, 350, 1891, 1541, -1465, 51, -1516
5, 13068, 2217, 13642, 11425, 10883, 204, 10679, 2298, 202, 1512, 1310, 2087, 21, 2066
6, 9668, 11001, 83501, 72500, -858, 16398, -17256, -1882, 469, 8704, 8235, -2342, 1033, -3375
7, 30955, 28587, 95682, 67095, 2884, 11273, -8389, 3071, 1577, 9520, 7943, 1541, 753, 788
8, -1881, 3625, 18768, 15143, -5434, 657, -6091, -725, 250, 1875, 1625, -976, 15, -991
9, 22779, 4407, 78967, 74560, 18984, 24110, -5126, 1426, 453, 8556, 8103, 1008, 1200, -192
10, -5288, -3044, 11809, 14853, -2137, 266, -2403, -674, -473, 1146, 1619, -195, 30, -225
11, 13118, 12500, 33935, 21435, 497, 6326, -5829, 647, 990, 3314, 2324, -342, 482, -824
12, 7501, 3771, 11201, 7430, 3706, 6347, -2641, 258, 324, 1140, 816, -69, 340, -409
13, 15496, 33779, 54430, 20651, -18670, 9059, -27729, -1319, 2798, 5291, 2493, -4126, 380, -4506
14, 22438, 13531, 33966, 20435, 9093, 18202, -9109, -1882, 1025, 3473, 2448, -2938, 1160, -4098
15, -4921, -926, 12345, 13271, -3943, 554, -4497, -726, -263, 1269, 1532, -461, 14, -475
16, 12307, 10484, 25919, 15435, 1991, 1718, 273, 963, 982, 2658, 1676, -10, 117, -127
17, 37817, -4461, 40584, 45045, 41934, 901, 41033, 3366, -868, 4264, 5132, 4224, 84, 4140
18, 21183, 7664, 20479, 12815, 13387, 4305, 9082, 2282, 661, 2178, 1517, 1628, 352, 1276
19, 733646, 343765, 673437, 329672, 389077, 144048, 245029, 75061, 31449, 72487, 41038, 43584, 12541, 31043
20, -10855, 3762, 28213, 24451, -14717, 7275, -21992, -319, -75, 2718, 2793, -236, 271, -507
21, 24255, 7301, 16800, 9499, 16776, 4442, 12334, 886, 692, 1825, 1133, 191, 303, -112
22, 44087, 19584, 68807, 49223, 24442, 5614, 18828, 4759, 1519, 7311, 5792, 3252, 289, 2963
23, 510760, 149806, 239673, 89867, 355902, 62740, 293162, 61586, 14670, 26115, 11445, 46614, 5280, 41334
24, 60581, 74264, 128382, 54118, -13469, 7091, -20560, 6444, 6666, 13144, 6478, -210, 81, -291
25, 89455, 85415, 309615, 224200, 5900, 63529, -57629, -690, 5871, 32143, 26272, -6487, 4412, -10899
26, -1783, -1025, 13391, 14416, -654, 829, -1483, 331, -216, 1378, 1594, 553, 62, 491
27, -2890, -12324, 14442, 26766, 9657, 3193, 6464, -481, -1393, 1524, 2917, 933, 317, 616
28, 28967, 39336, 104150, 64814, -10415, 7906, -18321, 358, 3326, 10800, 7474, -2986, 653, -3639
29, -1991, 1283, 15001, 13718, -3249, 2544, -5793, 110, 102, 1497, 1395, 14, 198, -184
30, -4647, -1418, 9713, 11131, -3171, 186, -3357, -576, -182, 981, 1163, -389, -5, -384
31, 3814, 12241, 49027, 36786, -8395, 5360, -13755, -1252, 925, 4998, 4073, -2183, 353, -2536
32, -9147, -2917, 12607, 15524, -6186, 457, -6643, -1387, -597, 1125, 1722, -784, 0, -784
33, 28101, 6275, 20961, 14686, 21826, 3788, 18038, 4050, 542, 2204, 1662, 3490, 403, 3087
34, 39964, 3342, 16324, 12982, 36236, -263, 36499, 5787, 309, 1857, 1548, 5446, -52, 5498
35, 14502, 4545, 19614, 15069, 9967, 598, 9369, 1464, 354, 2007, 1653, 1115, 54, 1061
36, -13033, -434, 23118, 23552, -12668, 3636, -16304, -1675, -260, 2345, 2605, -1420, 239, -1659
37, 29396, 26658, 126000, 99342, 3387, 8320, -4933, 2468, 1728, 13084, 11356, 779, 671, 108
38, 18324, 6700, 15869, 9169, 11386, 1131, 10255, 670, 581, 1636, 1055, 91, 134, -43
39, 4571, 962, 13760, 12798, 3636, 5090, -1454, 39, -13, 1422, 1435, 51, 283, -232
40, 1940, 8212, 18987, 10775, -6357, 6019, -12376, -893, 631, 1877, 1246, -1535, 567, -2102
41, 9695, 3249, 13902, 10653, 6496, 9088, -2592, 1138, 203, 1406, 1203, 937, 1223, -286
42, -2361, -1029, 7446, 8475, -1264, 514, -1778, -261, -225, 726, 951, -30, 8, -38
43, 132636, 36840, 78969, 42129, 95236, 6060, 89176, 20291, 3522, 8479, 4957, 16684, -75, 16759
