Index,  Total Population Change - Decade,  Natural Increase - Decade,  Births - Decade,  Deaths - Decade,  Total - Decade,  International - Decade,  Domestic - Decade,  Total Population Change - Annual,  Natural Increase - Annual,  Births - Annual,  Deaths - Annual,  Total - Annual,  International - Annual,  Domestic - Annual
670, -3604, 4701, 16897, 12196, -8274, 511, -8785, -1259, 319, 1697, 1378, -1578, 58, -1636
671, -2934, -200, 2631, 2831, -2771, 685, -3456, -302, -38, 258, 296, -267, 77, -344
672, -92, -55, 3396, 3451, -12, 103, -115, 151, 22, 372, 350, 133, 10, 123
673, -2232, -527, 4970, 5497, -1687, 189, -1876, -338, -20, 525, 545, -318, 7, -325
674, -1095, -173, 2647, 2820, -949, 259, -1208, -129, -17, 262, 279, -111, 9, -120
675, -1579, 241, 4513, 4272, -1846, 182, -2028, -257, -80, 444, 524, -177, -6, -171
676, 760, -333, 3298, 3631, 1076, 29, 1047, 99, -18, 361, 379, 118, -1, 119
677, -2463, -433, 7431, 7864, -2018, 550, -2568, -34, -59, 757, 816, 31, 67, -36
678, -1876, -1152, 5615, 6767, -671, 165, -836, -200, -131, 594, 725, -66, 10, -76
679, -2648, -1848, 5293, 7141, -747, 54, -801, -199, -179, 541, 720, -14, 1, -15
680, -4294, -561, 7002, 7563, -3737, 187, -3924, -270, -60, 750, 810, -209, 26, -235
681, 754, -497, 4199, 4696, 1296, 229, 1067, 291, -76, 437, 513, 368, 39, 329
682, -1412, 319, 7009, 6690, -1714, 270, -1984, -334, 3, 734, 731, -336, 28, -364
683, -372, -361, 5794, 6155, 24, 376, -352, 318, -109, 570, 679, 427, 30, 397
684, -384, 1313, 3354, 2041, -1727, 853, -2580, -109, 115, 343, 228, -225, 94, -319
685, -609, 228, 2556, 2328, -833, 387, -1220, -129, -1, 240, 241, -129, 45, -174
686, -1279, 547, 4962, 4415, -1836, 986, -2822, -519, 36, 514, 478, -556, 35, -591
687, -1687, -286, 3177, 3463, -1409, 251, -1660, -85, -48, 311, 359, -34, 34, -68
688, -4885, -2765, 6085, 8850, -2083, 187, -2270, -566, -400, 583, 983, -164, 6, -170
689, -1281, 270, 2051, 1781, -1567, 110, -1677, -131, 9, 195, 186, -141, 4, -145
690, -1913, -419, 5015, 5434, -1478, 240, -1718, -224, -45, 519, 564, -178, 15, -193
691, 115, 525, 4645, 4120, -394, 442, -836, -53, 72, 492, 420, -125, 19, -144
692, -420, -4, 1942, 1946, -414, 83, -497, -10, 18, 208, 190, -26, 11, -37
693, -2173, -837, 4838, 5675, -1308, 42, -1350, -216, -108, 508, 616, -108, 3, -111
694, -1113, 431, 5119, 4688, -1533, 22, -1555, -92, 9, 540, 531, -100, 4, -104
695, 1453, -63, 4408, 4471, 1547, 339, 1208, 451, 2, 473, 471, 450, 37, 413
696, -644, -404, 3016, 3420, -236, 66, -302, 14, -31, 305, 336, 47, 0, 47
697, -4121, -615, 8627, 9242, -3470, 193, -3663, -481, -53, 908, 961, -425, 22, -447
698, 1503, 1165, 4153, 2988, 357, 315, 42, 277, 110, 430, 320, 171, 16, 155
699, -8038, 1025, 11877, 10852, -9108, 235, -9343, -1148, 23, 1199, 1176, -1173, -26, -1147
700, -143, 382, 3126, 2744, -514, 24, -538, -35, 37, 309, 272, -72, 4, -76
701, -721, -86, 4051, 4137, -630, 134, -764, -192, -61, 409, 470, -131, 15, -146
702, -2659, -402, 3168, 3570, -2268, 23, -2291, -455, -63, 316, 379, -393, 5, -398
703, -1894, -76, 4813, 4889, -1923, 323, -2246, 86, -140, 460, 600, 228, 31, 197
704, -2867, -260, 4608, 4868, -2607, 46, -2653, -452, -79, 452, 531, -371, 5, -376
705, 1057, 314, 3311, 2997, 752, 86, 666, 315, 9, 352, 343, 306, 2, 304
706, 6176, 6349, 11622, 5273, -344, 2223, -2567, -166, 603, 1180, 577, -770, 117, -887
707, 392, 594, 2758, 2164, -192, 204, -396, 80, 73, 281, 208, 7, -4, 11
708, -670, 117, 2640, 2523, -789, 42, -831, 16, 53, 292, 239, -37, 5, -42
709, 1992, 216, 4412, 4196, 1771, 43, 1728, 682, -20, 448, 468, 700, 16, 684
710, 3010, -1967, 5430, 7397, 4989, 576, 4413, 35, -363, 531, 894, 400, 22, 378
711, -5299, 1655, 6797, 5142, -7020, 590, -7610, -493, 90, 647, 557, -584, 38, -622
712, 2865, 2029, 4094, 2065, 850, 1233, -383, 279, 207, 422, 215, 72, 52, 20
713, 8609, 7715, 14050, 6335, 942, 1242, -300, 1061, 767, 1486, 719, 296, 81, 215
714, 104, 1765, 6136, 4371, -1647, 138, -1785, 145, 134, 605, 471, 11, -18, 29
715, 421, -2988, 3244, 6232, 3427, 20, 3407, 308, -346, 349, 695, 655, -1, 656
716, 471, 2617, 4302, 1685, -2201, 1131, -3332, 149, 261, 456, 195, -113, 40, -153
717, -1966, -1114, 6974, 8088, -802, 301, -1103, -176, -138, 736, 874, -32, 40, -72
718, -4735, -1318, 3631, 4949, -3441, -13, -3428, -590, -138, 349, 487, -453, -1, -452
719, -441, 1762, 6129, 4367, -2256, 1819, -4075, -591, 200, 660, 460, -800, 121, -921
720, 1109, 2468, 6319, 3851, -1362, 628, -1990, 118, 256, 651, 395, -139, -3, -136
721, 2743, 1061, 5716, 4655, 1697, -56, 1753, 156, 62, 605, 543, 97, -12, 109
722, -1141, 263, 4413, 4150, -1384, 267, -1651, -24, 7, 452, 445, -30, 14, -44
723, 1394, 1064, 6777, 5713, 356, -3, 359, 422, 111, 741, 630, 314, -5, 319
724, 1811, -85, 3545, 3630, 1896, 1131, 765, 37, -48, 359, 407, 85, 14, 71
725, -139, 1349, 5002, 3653, -1485, 728, -2213, -210, 154, 526, 372, -365, 47, -412
726, -3000, -176, 8395, 8571, -2810, 155, -2965, -327, -85, 821, 906, -243, 7, -250
727, 680, 2675, 7926, 5251, -2014, 516, -2530, 43, 166, 770, 604, -123, 2, -125
728, -3170, -175, 5873, 6048, -3043, 1455, -4498, -678, -74, 594, 668, -606, 143, -749
729, -1411, 1096, 4785, 3689, -2496, 169, -2665, -458, 70, 468, 398, -528, 23, -551
730, 930, 25, 4014, 3989, 933, 121, 812, -3, -59, 395, 454, 57, -1, 58
731, -1494, -1032, 4326, 5358, -428, 29, -457, -159, -101, 448, 549, -56, 4, -60
732, -5645, -2383, 8207, 10590, -3229, 196, -3425, -616, -227, 863, 1090, -387, 9, -396
733, -598, 937, 10494, 9557, -1472, 638, -2110, -92, 50, 1098, 1048, -137, 26, -163
734, 3929, -1541, 3903, 5444, 5428, 150, 5278, 738, -224, 385, 609, 959, 0, 959
735, 362, -1106, 3510, 4616, 1496, -47, 1543, 146, -135, 361, 496, 282, -10, 292
736, -885, -173, 2535, 2708, -705, 93, -798, -117, 1, 276, 275, -117, 8, -125
737, -922, 3314, 5987, 2673, -4313, 795, -5108, 103, 303, 619, 316, -201, 56, -257
738, -103, 1875, 6242, 4367, -1980, 741, -2721, -137, 178, 652, 474, -319, 74, -393
739, -1434, 640, 4058, 3418, -2082, 180, -2262, -237, 67, 423, 356, -305, 19, -324
740, -794, 438, 3131, 2693, -1229, -17, -1212, 56, 36, 338, 302, 22, -1, 23
741, -898, -1032, 6284, 7316, 206, 333, -127, -151, -147, 670, 817, 2, 52, -50
742, -1357, 1351, 6761, 5410, -2722, 167, -2889, -98, 109, 698, 589, -206, -4, -202
743, 6633, 1947, 8445, 6498, 4661, 1580, 3081, 914, 154, 916, 762, 759, 59, 700
744, -4200, 1356, 10627, 9271, -5584, 1241, -6825, -587, -94, 988, 1082, -495, 96, -591
745, -4320, -1209, 4867, 6076, -3102, 15, -3117, -533, -228, 452, 680, -305, 1, -306
746, 2172, 927, 4912, 3985, 1256, 666, 590, 514, 95, 542, 447, 419, 61, 358
747, -4220, 482, 8188, 7706, -4720, 230, -4950, -609, -47, 801, 848, -560, 5, -565
748, -2785, -871, 4770, 5641, -1893, 338, -2231, -317, -163, 485, 648, -149, 25, -174
749, 584, 2074, 6750, 4676, -1491, -361, -1130, 462, 228, 702, 474, 235, -48, 283
750, -1266, 2754, 11659, 8905, -3972, 12, -3984, -658, 94, 1111, 1017, -750, 6, -756
751, -6333, -169, 9641, 9810, -6179, 317, -6496, -838, -204, 950, 1154, -631, 24, -655
752, -287, 462, 2573, 2111, -740, 211, -951, 77, 49, 266, 217, 30, 15, 15
753, 1252, 2581, 3664, 1083, -1346, 225, -1571, 247, 288, 388, 100, -41, 24, -65
754, -7870, -1525, 14631, 16156, -6322, 555, -6877, -818, -205, 1485, 1690, -611, 47, -658
755, -452, 491, 2894, 2403, -936, 89, -1025, -81, 45, 295, 250, -127, 9, -136
756, -655, 294, 4056, 3762, -928, 953, -1881, -22, 44, 436, 392, -67, 87, -154
757, 68, 1354, 4164, 2810, -1292, 41, -1333, -89, 83, 391, 308, -172, -6, -166
758, 6658, 1544, 5037, 3493, 4974, 356, 4618, 477, 118, 513, 395, 361, 19, 342
759, -1079, 1525, 6137, 4612, -2604, 702, -3306, 29, 102, 648, 546, -71, 18, -89
760, -2463, -1203, 10317, 11520, -1191, 37, -1228, -294, -179, 1042, 1221, -109, -12, -97
761, 2578, -2948, 3443, 6391, 5505, -328, 5833, 1337, -356, 379, 735, 1684, -63, 1747
762, 144, -1310, 7753, 9063, 1492, 89, 1403, 478, -207, 826, 1033, 681, -24, 705
763, -717, -752, 5460, 6212, 67, 293, -226, -239, -166, 588, 754, -72, 32, -104
764, -726, 472, 2963, 2491, -1232, 90, -1322, -209, 4, 267, 263, -216, -1, -215
765, 3235, 840, 5289, 4449, 2396, 48, 2348, -14, 82, 587, 505, -94, -7, -87
766, -4, -1216, 3046, 4262, 1241, 21, 1220, 9, -181, 300, 481, 192, -5, 197
767, 68, 388, 6062, 5674, -303, 31, -334, 130, -42, 619, 661, 174, 2, 172
768, -1991, 35, 2466, 2431, -2042, 12, -2054, -288, 26, 248, 222, -315, -3, -312
769, 426, -1531, 5452, 6983, 1994, 212, 1782, 217, -297, 514, 811, 513, 9, 504
770, 3089, 1071, 2322, 1251, 2001, 1825, 176, 95, 93, 251, 158, 1, 236, -235
771, 2280, 745, 1730, 985, 1496, 620, 876, 484, 81, 187, 106, 401, 51, 350
772, -54, 258, 3364, 3106, -306, 100, -406, -6, 13, 340, 327, -19, 4, -23
773, -1389, 57, 3454, 3397, -1453, 128, -1581, -130, 18, 382, 364, -149, 26, -175
774, -204, -31, 5861, 5892, -151, -200, 49, 212, -71, 610, 681, 285, -30, 315
775, 636, 1025, 2531, 1506, -388, -33, -355, -76, 97, 265, 168, -174, -2, -172
776, 12630, -387, 9688, 10075, 12924, 799, 12125, 2075, -30, 1139, 1169, 2101, 78, 2023
777, -317, 659, 4479, 3820, -970, 963, -1933, -93, 87, 448, 361, -183, 85, -268
778, -2800, 1667, 4510, 2843, -4540, 142, -4682, -225, 128, 427, 299, -354, 0, -354
779, 235, 610, 5137, 4527, -391, 209, -600, -5, 90, 561, 471, -93, 10, -103
780, -1646, 595, 7100, 6505, -2229, 779, -3008, -194, 12, 756, 744, -204, 49, -253
781, -792, 1158, 5419, 4261, -1949, 329, -2278, -38, 105, 582, 477, -143, 56, -199
782, -1876, -644, 6006, 6650, -1216, 162, -1378, -283, -141, 615, 756, -137, 13, -150
783, -3024, 216, 5610, 5394, -3237, 19, -3256, -406, -39, 537, 576, -365, -2, -363
784, -3297, -135, 3852, 3987, -3221, 276, -3497, -66, 10, 422, 412, -74, 32, -106
785, -1132, -395, 6594, 6989, -685, -15, -670, -241, -135, 635, 770, -106, 1, -107
786, -1340, 1195, 2596, 1401, -2592, 368, -2960, -259, 108, 253, 145, -369, 34, -403
787, 5935, -2818, 6116, 8934, 8734, 503, 8231, 780, -429, 632, 1061, 1206, 44, 1162
788, -92, 757, 2649, 1892, -845, 281, -1126, -214, 44, 262, 218, -259, 8, -267
789, -4336, -891, 8120, 9011, -3446, 219, -3665, -166, -133, 825, 958, -31, 8, -39
790, -6931, -5037, 12805, 17842, -1787, 464, -2251, -456, -496, 1282, 1778, 50, 23, 27
791, -940, 519, 2560, 2041, -1482, 68, -1550, 230, 47, 231, 184, 182, 2, 180
792, 3426, -309, 1983, 2292, 3708, -54, 3762, 579, -7, 259, 266, 585, -11, 596
793, 5326, 1551, 3984, 2433, 3691, 3739, -48, 421, 151, 390, 239, 272, 393, -121
794, -2095, 207, 8627, 8420, -2266, 215, -2481, -251, -52, 901, 953, -196, 16, -212
795, -778, 1176, 2724, 1548, -1965, 112, -2077, -92, 69, 252, 183, -163, 5, -168
796, 1644, 1179, 7041, 5862, 505, -131, 636, 1066, 78, 739, 661, 985, -29, 1014
797, 156, 346, 4745, 4399, -162, 110, -272, 41, 49, 503, 454, -7, 3, -10
798, 2221, 9669, 11868, 2199, -7529, 301, -7830, 590, 1058, 1291, 233, -463, -7, -456
799, -3112, -628, 7229, 7857, -2466, 303, -2769, -162, -109, 757, 866, -52, 70, -122
800, 9501, 2067, 10636, 8569, 7365, 653, 6712, 836, 169, 1123, 954, 668, 3, 665
801, 3666, 8374, 12035, 3661, -4744, 754, -5498, 384, 778, 1178, 400, -397, -10, -387
802, -862, 1255, 5266, 4011, -2137, -32, -2105, -300, 20, 505, 485, -319, -3, -316
803, -7237, -1706, 7040, 8746, -5551, 194, -5745, -839, -290, 713, 1003, -549, 16, -565
804, -2847, 275, 4920, 4645, -3154, 122, -3276, -138, 30, 525, 495, -167, 5, -172
805, -1818, 42, 5087, 5045, -1849, 34, -1883, -59, 3, 559, 556, -61, 3, -64
806, 352, -969, 2240, 3209, 1255, -18, 1273, 64, -172, 193, 365, 236, -11, 247
807, -1463, 2909, 5555, 2646, -4461, 59, -4520, -515, 208, 506, 298, -727, 23, -750
808, -551, 669, 4748, 4079, -1246, 1736, -2982, 22, 40, 461, 421, -18, 173, -191
