City,Tech_2010
"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",2370432
"Lawrence, KS (Metropolitan Statistical Area)",97240
"Lawton, OK (Metropolitan Statistical Area)",(D)
"Lebanon, PA (Metropolitan Statistical Area)",109659
"Lewiston, ID-WA (Metropolitan Statistical Area)",38849
"Lewiston-Auburn, ME (Metropolitan Statistical Area)",99186
"Lexington-Fayette, KY (Metropolitan Statistical Area)",900197
"Lima, OH (Metropolitan Statistical Area)",166778
"Lincoln, NE (Metropolitan Statistical Area)",361812
"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",(D)
"Logan, UT-ID (Metropolitan Statistical Area)",108974
"Longview, TX (Metropolitan Statistical Area)",285131
"Longview, WA (Metropolitan Statistical Area)",51812
"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",79186627
"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",(D)
"Lubbock, TX (Metropolitan Statistical Area)",(D)
"Lynchburg, VA (Metropolitan Statistical Area) *",157150
"Macon-Bibb County, GA (Metropolitan Statistical Area)",(D)
"Madera, CA (Metropolitan Statistical Area)",89866
"Madison, WI (Metropolitan Statistical Area)",2259451
"Manchester-Nashua, NH (Metropolitan Statistical Area)",1353652
"Manhattan, KS (Metropolitan Statistical Area)",115622
"Mankato, MN (Metropolitan Statistical Area)",254783
"Mansfield, OH (Metropolitan Statistical Area)",131430
"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",330783
"Medford, OR (Metropolitan Statistical Area)",456547
"Memphis, TN-MS-AR (Metropolitan Statistical Area)",(D)
"Merced, CA (Metropolitan Statistical Area)",117534
"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",13667219
"Michigan City-La Porte, IN (Metropolitan Statistical Area)",48149
"Midland, MI (Metropolitan Statistical Area)",48021
"Midland, TX (Metropolitan Statistical Area)",(D)
"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",3489579
"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",8990365
"Missoula, MT (Metropolitan Statistical Area)",143185
"Mobile, AL (Metropolitan Statistical Area)",(D)
"Modesto, CA (Metropolitan Statistical Area)",191691
"Monroe, LA (Metropolitan Statistical Area)",315076
"Monroe, MI (Metropolitan Statistical Area)",39979
"Montgomery, AL (Metropolitan Statistical Area)",(D)
"Morgantown, WV (Metropolitan Statistical Area)",(D)
"Morristown, TN (Metropolitan Statistical Area)",(D)
"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",52627
"Muncie, IN (Metropolitan Statistical Area)",50082
"Muskegon, MI (Metropolitan Statistical Area)",160190
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",365451
"Napa, CA (Metropolitan Statistical Area)",128347
"Naples-Marco Island, FL (Metropolitan Statistical Area)",432801
"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",(D)
"New Bern, NC (Metropolitan Statistical Area)",(D)
"New Haven-Milford, CT (Metropolitan Statistical Area)",1945325
"New Orleans-Metairie, LA (Metropolitan Statistical Area)",(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",105626472
"Niles, MI (Metropolitan Statistical Area)",78900
"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",635140
"Norwich-New London, CT (Metropolitan Statistical Area)",299329
"Ocala, FL (Metropolitan Statistical Area)",256134
"Ocean City, NJ (Metropolitan Statistical Area)",65407
"Odessa, TX (Metropolitan Statistical Area)",124679
"Ogden-Clearfield, UT (Metropolitan Statistical Area)",(D)
"Oklahoma City, OK (Metropolitan Statistical Area)",1920338
"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",164586
"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",(D)
"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",4592771
"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",266521
"Owensboro, KY (Metropolitan Statistical Area)",(D)
"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",1189414
"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",467922
"Panama City, FL (Metropolitan Statistical Area)",268699
"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",(D)
