"","City","State","Region","Political_Leaning","Population_Change_Decade","Natural_Increase_Decade","Births_Decade","Deaths_Decade","Total_Decade","International_Decade","Domestic_Decade","Population_Change_Annual","Natural_Increase_Annual","Births_Annual","Deaths_Annual","Total._Annual","International_Annual","Domestic_Annual","City_data","GDP_2010","GDP_2018","Population_2010","Population_2018","Decade_GDP_Change","Population_Percent_Change","GDP_Percent_Change"
"196"," Lansing"," MI","  Midwest"," RED",15707,14093,54679,40586,1625,19865,-18240,1717,1125,5702,4577,612,1452,-840,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",20916226000,22247293000,534899,548674,1331067000,1.02575252524308,1.06363801003106
"197"," Laredo"," TX","  South"," RED",26348,36433,48554,12121,-10078,7043,-17121,1532,3357,4735,1378,-1831,377,-2208,"Laredo, TX (Metropolitan Statistical Area)",7932647000,12408193000,251370,275120,4475546000,1.09448223733938,1.56419326361049
"198"," Las Cruces"," NM","  West"," BLUE",8978,12954,27022,14068,-4004,2240,-6244,917,1015,2630,1615,-96,128,-224,"Las Cruces, NM (Metropolitan Statistical Area)",7017937000,6757266000,210097,217278,-260671000,1.03417945044432,0.962856463373781
"199"," Las Vegas"," NV","  West"," BLUE",315447,105372,247787,142415,208889,23319,185570,40600,9129,27048,17919,31283,-360,31643,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",89183882000,107622947000,1952587,2226115,18439065000,1.14008492323261,1.20675333464403
"200"," Lawrence"," KS","  Midwest"," RED",11433,4907,11149,6242,6564,5122,1442,1150,420,1107,687,729,387,342,"Lawrence, KS (Metropolitan Statistical Area)",3894698000,4458646000,111198,121109,563948000,1.08912930088671,1.14479890353501
"201"," Lawton"," OK","  South"," RED",-3873,7691,17852,10161,-11769,2831,-14600,67,523,1693,1170,-454,56,-510,"Lawton, OK (Metropolitan Statistical Area)",5064137000,4605279000,131569,126348,-458858000,0.96031739999544,0.909390681966147
"202"," Lebanon"," PA","  Northeast"," RED",8196,1613,15092,13479,6716,4877,1839,454,77,1581,1504,384,124,260,"Lebanon, PA (Metropolitan Statistical Area)",4882116000,5659207000,133664,141339,777091000,1.05742009815657,1.15917094145244
"203"," Lewiston"," ID","  West"," RED",2097,-293,6567,6860,2421,-204,2625,118,-38,680,718,161,-47,208,"Lewiston, ID-WA (Metropolitan Statistical Area)",2319237000,2572585000,61040,62872,253348000,1.0300131061599,1.10923765014097
"204"," Lewiston"," ME","  Northeast"," BLUE",568,1802,11771,9969,-1187,1143,-2330,363,124,1208,1084,242,92,150,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",3966367000,4266879000,107708,107914,300512000,1.00191257845285,1.07576505149423
"205"," Lexington"," KY","  South"," RED",44953,21545,57894,36349,23522,11848,11674,2118,1933,6086,4153,195,259,-64,"Lexington-Fayette, KY (Metropolitan Statistical Area)",22126118000,26125987000,473412,514938,3999869000,1.08771640769562,1.1807759047475
"206"," Lima"," OH","  Midwest"," RED",-3962,1560,11697,10137,-5522,175,-5697,-374,135,1214,1079,-509,-8,-501,"Lima, OH (Metropolitan Statistical Area)",7160776000,7558930000,106358,102725,398154000,0.965841779649862,1.05560207441205
"207"," Lincoln"," NE","  Midwest"," RED",34217,18243,38980,20737,16106,8917,7189,2574,1770,4077,2307,814,808,6,"Lincoln, NE (Metropolitan Statistical Area)",14660135000,17243457000,302961,333800,2583322000,1.10179197982579,1.17621406624155
"208"," Little Rock"," AR","  South"," RED",42594,28130,88569,60439,14662,7696,6966,2303,2179,9010,6831,143,168,-25,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",31495053000,34579355000,702294,740081,3084302000,1.05380510156715,1.0979297288371
"209"," Logan"," UT","  West"," RED",16723,17562,23357,5795,-854,2240,-3094,2061,1730,2396,666,330,233,97,"Logan, UT-ID (Metropolitan Statistical Area)",4303415000,5118853000,126167,140104,815438000,1.11046470154636,1.18948625684485
"210"," Longview"," TX","  South"," RED",6650,7553,34504,26951,-805,1888,-2693,1342,362,3364,3002,992,46,946,"Longview, TX (Metropolitan Statistical Area)",16237294000,16073025000,280487,285315,-164269000,1.01721291895881,0.989883228079753
"211"," Longview"," WA","  West"," BLUE",8185,1106,11376,10270,7099,265,6834,1841,153,1287,1134,1686,22,1664,"Longview, WA (Metropolitan Statistical Area)",4095320000,4511489000,102358,108752,416169000,1.06246702749174,1.10162063037809
"212"," Los Angeles"," CA","  West"," BLUE",385842,753642,1500780,747138,-362998,377442,-740440,-35080,59687,149369,89682,-94938,27228,-122166,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",761847125000,941064112000,12838417,13249879,179216987000,1.0320492783495,1.23524009098282
"213"," Louisville/Jefferson County"," KY","  South"," RED",62422,31671,141702,110031,31536,20169,11367,3085,2852,14990,12138,278,671,-393,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",55875185000,64061796000,1204655,1262023,8186611000,1.0476219332506,1.14651604285516
"214"," Lubbock"," TX","  South"," RED",31368,15696,38925,23229,15616,3403,12213,3018,1354,4068,2714,1666,252,1414,"Lubbock, TX (Metropolitan Statistical Area)",11366277000,13091760000,292241,319239,1725483000,1.09238265677985,1.15180722764367
"215"," Lynchburg"," VA","  South"," BLUE",10912,1841,26279,24438,9174,3531,5643,673,40,2844,2804,643,267,376,"Lynchburg, VA (Metropolitan Statistical Area) *",9678667000,9480986000,252969,262893,-197681000,1.03923010329329,0.979575596515512
