"","City","State","Region","Political_Leaning","Population_Change_Decade","Natural_Increase_Decade","Births_Decade","Deaths_Decade","Total_Decade","International_Decade","Domestic_Decade","Population_Change_Annual","Natural_Increase_Annual","Births_Annual","Deaths_Annual","Total._Annual","International_Annual","Domestic_Annual","City_data","GDP_2010","GDP_2018","Population_2010","Population_2018","Decade_GDP_Change","Population_Percent_Change","GDP_Percent_Change"
"482"," Cleveland"," MS","  South"," RED",-3525,750,4522,3772,-4289,119,-4408,-487,7,405,398,-496,23,-519,NA,0,0,0,0,0,NA,NA
"483"," Clewiston"," FL","  South"," RED",2879,2722,5440,2718,50,2939,-2889,686,220,576,356,467,341,126,NA,0,0,0,0,0,NA,NA
"484"," Clinton"," IA","  Midwest"," RED",-2688,67,5191,5124,-2772,245,-3017,-8,-10,508,518,3,12,-9,NA,0,0,0,0,0,NA,NA
"485"," Clovis"," NM","  West"," BLUE",578,4661,8269,3608,-4153,1307,-5460,-384,446,824,378,-829,-8,-821,NA,0,0,0,0,0,NA,NA
"486"," Coffeyville"," KS","  Midwest"," RED",-3639,-182,3828,4010,-3488,564,-4052,-262,-34,322,356,-229,61,-290,NA,0,0,0,0,0,NA,NA
"487"," Coldwater"," MI","  Midwest"," RED",-1725,807,4885,4078,-2535,421,-2956,-49,96,515,419,-143,29,-172,NA,0,0,0,0,0,NA,NA
"488"," Columbus"," MS","  South"," RED",-1184,1716,7305,5589,-2886,912,-3798,-165,164,774,610,-328,89,-417,NA,0,0,0,0,0,NA,NA
"489"," Columbus"," NE","  Midwest"," RED",1233,1870,4436,2566,-635,597,-1232,183,180,461,281,4,73,-69,NA,0,0,0,0,0,NA,NA
"490"," Concord"," NH","  Northeast"," BLUE",4940,-43,12391,12434,5104,3462,1642,741,-83,1305,1388,830,279,551,NA,0,0,0,0,0,NA,NA
"491"," Connersville"," IN","  Midwest"," RED",-1199,-601,2303,2904,-586,76,-662,26,-14,271,285,42,15,27,NA,0,0,0,0,0,NA,NA
"492"," Cookeville"," TN","  South"," RED",8217,-82,11278,11360,8336,1988,6348,1796,-52,1206,1258,1846,210,1636,NA,0,0,0,0,0,NA,NA
"493"," Coos Bay"," OR","  West"," BLUE",1432,-2564,5693,8257,4023,122,3901,215,-338,599,937,553,-15,568,NA,0,0,0,0,0,NA,NA
"494"," Cordele"," GA","  South"," RED",-1061,402,2705,2303,-1488,141,-1629,-245,-33,256,289,-213,11,-224,NA,0,0,0,0,0,NA,NA
"495"," Corinth"," MS","  South"," RED",-109,-217,4017,4234,140,27,113,143,-46,411,457,190,-7,197,NA,0,0,0,0,0,NA,NA
"496"," Cornelia"," GA","  South"," RED",2296,718,4729,4011,1572,96,1476,-45,88,537,449,-132,2,-134,NA,0,0,0,0,0,NA,NA
"497"," Corning"," NY","  Northeast"," BLUE",-3603,719,9839,9120,-4306,535,-4841,-481,-41,981,1022,-440,49,-489,NA,0,0,0,0,0,NA,NA
"498"," Corsicana"," TX","  South"," RED",2273,1583,6400,4817,714,133,581,577,141,678,537,437,9,428,NA,0,0,0,0,0,NA,NA
"499"," Cortland"," NY","  Northeast"," BLUE",-1709,323,4403,4080,-2037,212,-2249,-141,50,472,422,-191,19,-210,NA,0,0,0,0,0,NA,NA
"500"," Coshocton"," OH","  Midwest"," RED",-300,512,4217,3705,-796,61,-857,4,52,460,408,-46,4,-50,NA,0,0,0,0,0,NA,NA
"501"," Craig"," CO","  West"," BLUE",-508,771,1659,888,-1302,86,-1388,100,89,170,81,11,19,-8,NA,0,0,0,0,0,NA,NA
"502"," Crawfordsville"," IN","  Midwest"," RED",217,569,4195,3626,-328,191,-519,64,37,426,389,29,44,-15,NA,0,0,0,0,0,NA,NA
"503"," Crescent City"," CA","  West"," BLUE",-798,146,2810,2664,-982,103,-1085,72,6,261,255,68,15,53,NA,0,0,0,0,0,NA,NA
"504"," Crossville"," TN","  South"," RED",4460,-2362,5042,7404,6768,223,6545,782,-331,512,843,1107,20,1087,NA,0,0,0,0,0,NA,NA
"505"," Cullman"," AL","  South"," RED",3362,-13,9120,9133,3433,322,3111,350,-60,990,1050,414,34,380,NA,0,0,0,0,0,NA,NA
"506"," Cullowhee"," NC","  South"," RED",3961,205,5256,5051,3748,631,3117,360,-87,505,592,448,78,370,NA,0,0,0,0,0,NA,NA
"507"," Danville"," KY","  South"," RED",1430,361,5928,5567,1050,112,938,-85,34,639,605,-121,-3,-118,NA,0,0,0,0,0,NA,NA
"508"," Danville"," VA","  South"," BLUE",-6142,-3488,9454,12942,-2608,446,-3054,-1152,-490,934,1424,-659,20,-679,NA,0,0,0,0,0,NA,NA
"509"," Dayton"," TN","  South"," RED",1363,-44,3578,3622,1421,235,1186,256,-17,388,405,272,9,263,NA,0,0,0,0,0,NA,NA
"510"," Decatur"," IN","  Midwest"," RED",1393,3415,6242,2827,-2028,49,-2077,182,415,676,261,-231,8,-239,NA,0,0,0,0,0,NA,NA
"511"," Defiance"," OH","  Midwest"," RED",-939,459,4059,3600,-1403,246,-1649,-2,37,427,390,-37,9,-46,NA,0,0,0,0,0,NA,NA
"512"," Del Rio"," TX","  South"," RED",146,4541,7856,3315,-4443,653,-5096,37,380,759,379,-344,-15,-329,NA,0,0,0,0,0,NA,NA
"513"," Deming"," NM","  West"," BLUE",-1386,780,3544,2764,-2169,88,-2257,-168,65,346,281,-231,16,-247,NA,0,0,0,0,0,NA,NA
"514"," DeRidder"," LA","  South"," RED",1846,1224,4660,3436,634,263,371,128,119,531,412,12,11,1,NA,0,0,0,0,0,NA,NA
"515"," Dickinson"," ND","  Midwest"," RED",7434,2304,4474,2170,4928,506,4422,606,277,516,239,332,35,297,NA,0,0,0,0,0,NA,NA
"516"," Dixon"," IL","  Midwest"," BLUE",-1942,-136,3221,3357,-1809,50,-1859,-200,-38,338,376,-162,7,-169,NA,0,0,0,0,0,NA,NA
"517"," Dodge City"," KS","  Midwest"," RED",-225,3722,5931,2209,-4000,2131,-6131,-258,340,559,219,-602,240,-842,NA,0,0,0,0,0,NA,NA
"518"," Douglas"," GA","  South"," RED",711,2307,6633,4326,-1645,164,-1809,121,242,714,472,-121,-2,-119,NA,0,0,0,0,0,NA,NA
"519"," Dublin"," GA","  South"," RED",-1202,837,7515,6678,-2028,103,-2131,235,43,791,748,192,6,186,NA,0,0,0,0,0,NA,NA
"520"," DuBois"," PA","  Northeast"," RED",-2354,-1757,6918,8675,-533,547,-1080,-317,-211,732,943,-102,59,-161,NA,0,0,0,0,0,NA,NA
"521"," Dumas"," TX","  South"," RED",-964,2506,3815,1309,-3520,957,-4477,-143,239,369,130,-386,29,-415,NA,0,0,0,0,0,NA,NA
"522"," Duncan"," OK","  South"," RED",-1904,-296,4900,5196,-1588,225,-1813,-36,-80,491,571,47,22,25,NA,0,0,0,0,0,NA,NA
"523"," Durango"," CO","  West"," BLUE",4886,1824,4881,3057,3020,-60,3080,-78,105,472,367,-180,-11,-169,NA,0,0,0,0,0,NA,NA
"524"," Durant"," OK","  South"," RED",5579,811,5472,4661,4751,158,4593,804,47,589,542,753,14,739,NA,0,0,0,0,0,NA,NA
"525"," Dyersburg"," TN","  South"," RED",-1171,188,4350,4162,-1349,52,-1401,-127,-13,445,458,-113,-1,-112,NA,0,0,0,0,0,NA,NA
"526"," Eagle Pass"," TX","  South"," RED",4464,6536,9990,3454,-2075,1598,-3673,446,649,1042,393,-204,79,-283,NA,0,0,0,0,0,NA,NA
"527"," Easton"," MD","  South"," BLUE",-600,-940,3099,4039,380,166,214,107,-140,338,478,251,9,242,NA,0,0,0,0,0,NA,NA
"528"," Edwards"," CO","  West"," BLUE",2926,4837,5870,1033,-1929,1022,-2951,184,430,559,129,-246,118,-364,NA,0,0,0,0,0,NA,NA
"529"," Effingham"," IL","  Midwest"," BLUE",-238,888,4216,3328,-1120,110,-1230,-173,94,469,375,-267,6,-273,NA,0,0,0,0,0,NA,NA
"530"," El Campo"," TX","  South"," RED",276,1239,5165,3926,-941,18,-959,57,144,564,420,-85,-15,-70,NA,0,0,0,0,0,NA,NA
"531"," El Dorado"," AR","  South"," RED",-2957,-137,4754,4891,-2845,-20,-2825,-457,-70,480,550,-387,-1,-386,NA,0,0,0,0,0,NA,NA
"532"," Elizabeth City"," NC","  South"," RED",-826,453,5705,5252,-1305,557,-1862,323,63,579,516,260,26,234,NA,0,0,0,0,0,NA,NA
"533"," Elk City"," OK","  South"," RED",-260,953,3150,2197,-1251,9,-1260,139,56,294,238,83,3,80,NA,0,0,0,0,0,NA,NA
"534"," Elkins"," WV","  South"," RED",-710,-523,2855,3378,-168,73,-241,-119,-66,319,385,-51,-2,-49,NA,0,0,0,0,0,NA,NA
"535"," Elko"," NV","  West"," BLUE",3878,4118,6906,2788,-337,-209,-128,270,406,787,381,-136,-45,-91,NA,0,0,0,0,0,NA,NA
"536"," Ellensburg"," WA","  West"," BLUE",7025,1043,3798,2755,5948,735,5213,577,119,426,307,457,81,376,NA,0,0,0,0,0,NA,NA
"537"," Emporia"," KS","  Midwest"," RED",-639,1123,4029,2906,-1792,742,-2534,-57,117,407,290,-174,47,-221,NA,0,0,0,0,0,NA,NA
"538"," Enterprise"," AL","  South"," RED",2387,1103,5844,4741,1272,824,448,392,29,599,570,368,34,334,NA,0,0,0,0,0,NA,NA
"539"," Escanaba"," MI","  Midwest"," RED",-1285,-712,3328,4040,-545,-8,-537,-59,-92,342,434,36,-3,39,NA,0,0,0,0,0,NA,NA
"540"," ola"," NM","  West"," BLUE",-1299,1043,4795,3752,-2343,349,-2692,-102,-42,417,459,-58,30,-88,NA,0,0,0,0,0,NA,NA
"541"," Eufaula"," AL","  South"," RED",-2980,-351,2815,3166,-2642,39,-2681,-147,-64,272,336,-82,13,-95,NA,0,0,0,0,0,NA,NA
"542"," Eureka"," CA","  West"," BLUE",947,1330,13502,12172,-341,167,-508,-686,-38,1352,1390,-642,-17,-625,NA,0,0,0,0,0,NA,NA
"543"," Evanston"," WY","  West"," RED",-895,1463,2755,1292,-2383,-79,-2304,-66,119,255,136,-186,0,-186,NA,0,0,0,0,0,NA,NA
"544"," Fairfield"," IA","  Midwest"," RED",1455,-116,1403,1519,1572,2195,-623,39,-27,158,185,68,142,-74,NA,0,0,0,0,0,NA,NA
"545"," Fairmont"," MN","  Midwest"," BLUE",-1160,-228,2083,2311,-928,11,-939,-89,10,234,224,-97,1,-98,NA,0,0,0,0,0,NA,NA
"546"," Fairmont"," WV","  South"," RED",-361,-260,5925,6185,-48,72,-120,-19,-79,594,673,62,-17,79,NA,0,0,0,0,0,NA,NA
"547"," Fallon"," NV","  West"," BLUE",34,484,2941,2457,-474,302,-776,403,67,327,260,336,-5,341,NA,0,0,0,0,0,NA,NA
"548"," Faribault"," MN","  Midwest"," BLUE",2829,2328,6784,4456,517,1625,-1108,406,253,743,490,156,181,-25,NA,0,0,0,0,0,NA,NA
"549"," Farmington"," MO","  Midwest"," RED",1846,-362,6721,7083,2223,-23,2246,478,-81,693,774,559,-7,566,NA,0,0,0,0,0,NA,NA
"550"," Fergus Falls"," MN","  Midwest"," BLUE",1445,-247,6002,6249,1755,432,1323,76,-36,648,684,118,31,87,NA,0,0,0,0,0,NA,NA
"551"," Fernley"," NV","  West"," BLUE",5528,129,5424,5295,5375,-293,5668,1697,45,664,619,1645,-46,1691,NA,0,0,0,0,0,NA,NA
"552"," Findlay"," OH","  Midwest"," RED",994,1600,8384,6784,-578,1226,-1804,-137,159,881,722,-296,98,-394,NA,0,0,0,0,0,NA,NA
"553"," Fitzgerald"," GA","  South"," RED",-960,90,2099,2009,-1043,18,-1061,-122,-28,197,225,-94,6,-100,NA,0,0,0,0,0,NA,NA
"554"," Forest City"," NC","  South"," RED",-790,-1594,6242,7836,870,32,838,254,-200,662,862,455,-6,461,NA,0,0,0,0,0,NA,NA
"555"," Forrest City"," AR","  South"," RED",-3259,566,3155,2589,-3861,160,-4021,-515,-10,305,315,-506,2,-508,NA,0,0,0,0,0,NA,NA
"556"," Fort Dodge"," IA","  Midwest"," RED",-2107,-59,4055,4114,-2056,411,-2467,-435,3,421,418,-439,28,-467,NA,0,0,0,0,0,NA,NA
"557"," Fort Leonard Wood"," MO","  Midwest"," RED",325,4516,7312,2796,-4301,2625,-6926,610,379,676,297,231,48,183,NA,0,0,0,0,0,NA,NA
"558"," Fort Madison"," IA","  Midwest"," RED",-3933,-399,6208,6607,-3531,70,-3601,-408,-43,620,663,-365,1,-366,NA,0,0,0,0,0,NA,NA
"559"," Fort Morgan"," CO","  West"," BLUE",909,1651,4031,2380,-753,1203,-1956,299,198,438,240,101,171,-70,NA,0,0,0,0,0,NA,NA
"560"," Fort Payne"," AL","  South"," RED",393,559,7756,7197,-117,510,-627,106,-24,795,819,134,44,90,NA,0,0,0,0,0,NA,NA
"561"," Fort Polk South"," LA","  South"," RED",-4932,5703,9292,3589,-10769,1613,-12382,-672,462,828,366,-1130,31,-1161,NA,0,0,0,0,0,NA,NA
"562"," Frankfort"," IN","  Midwest"," RED",-820,745,4072,3327,-1578,145,-1723,207,102,422,320,107,20,87,NA,0,0,0,0,0,NA,NA
"563"," Frankfort"," KY","  South"," RED",3008,885,7769,6884,2180,612,1568,296,107,857,750,190,34,156,NA,0,0,0,0,0,NA,NA
"564"," Fredericksburg"," TX","  South"," RED",2160,-919,2315,3234,3079,272,2807,286,-125,248,373,409,12,397,NA,0,0,0,0,0,NA,NA
"565"," Freeport"," IL","  Midwest"," BLUE",-3210,-455,4551,5006,-2768,199,-2967,-299,-71,476,547,-228,24,-252,NA,0,0,0,0,0,NA,NA
"566"," Fremont"," NE","  Midwest"," RED",-120,413,4442,4029,-520,468,-988,-160,54,454,400,-214,61,-275,NA,0,0,0,0,0,NA,NA
"567"," Fremont"," OH","  Midwest"," RED",-2428,148,6111,5963,-2570,86,-2656,-222,-21,603,624,-199,2,-201,NA,0,0,0,0,0,NA,NA
"568"," Gaffney"," SC","  South"," RED",1812,517,6226,5709,1340,-93,1433,231,28,652,624,205,-9,214,NA,0,0,0,0,0,NA,NA
"569"," Gainesville"," TX","  South"," RED",2821,1240,4979,3739,1584,361,1223,753,113,530,417,639,23,616,NA,0,0,0,0,0,NA,NA
"570"," Galesburg"," IL","  Midwest"," BLUE",-3227,-1115,5149,6264,-2083,754,-2837,-279,-61,559,620,-219,77,-296,NA,0,0,0,0,0,NA,NA
"571"," Gallup"," NM","  West"," BLUE",-118,4418,9926,5508,-4557,489,-5046,-544,175,817,642,-721,17,-738,NA,0,0,0,0,0,NA,NA
"572"," Garden City"," KS","  Midwest"," RED",-462,4562,6849,2287,-5082,1277,-6359,-164,441,672,231,-610,110,-720,NA,0,0,0,0,0,NA,NA
"573"," Gardnerville Ranchos"," NV","  West"," BLUE",1905,-1368,3041,4409,3304,-23,3327,416,-262,287,549,675,-16,691,NA,0,0,0,0,0,NA,NA
"574"," Georgetown"," SC","  South"," RED",2369,-1682,5241,6923,4073,52,4021,448,-358,521,879,804,-13,817,NA,0,0,0,0,0,NA,NA
"575"," Gillette"," WY","  West"," RED",431,4721,8273,3552,-4360,310,-4670,184,293,761,468,-110,71,-181,NA,0,0,0,0,0,NA,NA
"576"," Glasgow"," KY","  South"," RED",2043,577,6288,5711,1494,200,1294,135,23,670,647,114,-1,115,NA,0,0,0,0,0,NA,NA
"577"," Glenwood Springs"," CO","  West"," BLUE",4311,5328,8759,3431,-1040,1053,-2093,151,476,911,435,-327,147,-474,NA,0,0,0,0,0,NA,NA
"578"," Gloversville"," NY","  Northeast"," BLUE",-2130,-631,4935,5566,-1485,118,-1603,-250,-48,517,565,-203,0,-203,NA,0,0,0,0,0,NA,NA
"579"," Granbury"," TX","  South"," RED",10480,-650,5519,6169,11054,342,10712,1466,-109,627,736,1567,2,1565,NA,0,0,0,0,0,NA,NA
"580"," Grand Rapids"," MN","  Midwest"," BLUE",72,-505,4284,4789,625,62,563,79,-61,441,502,144,8,136,NA,0,0,0,0,0,NA,NA
"581"," Grants"," NM","  West"," BLUE",-540,967,3348,2381,-1518,190,-1708,-91,43,306,263,-134,9,-143,NA,0,0,0,0,0,NA,NA
"582"," Great Bend"," KS","  Midwest"," RED",-1893,372,3123,2751,-2263,31,-2294,-278,-33,271,304,-245,5,-250,NA,0,0,0,0,0,NA,NA
"583"," Greeneville"," TN","  South"," RED",244,-2254,5954,8208,2548,113,2435,-95,-243,665,908,153,9,144,NA,0,0,0,0,0,NA,NA
"584"," Greensburg"," IN","  Midwest"," RED",820,651,3096,2445,190,187,3,-166,47,320,273,-215,17,-232,NA,0,0,0,0,0,NA,NA
"585"," Greenville"," MS","  South"," RED",-7226,1219,6660,5441,-8517,112,-8629,-1127,-43,565,608,-1088,19,-1107,NA,0,0,0,0,0,NA,NA
"586"," Greenville"," OH","  Midwest"," RED",-1855,293,5748,5455,-2138,89,-2227,-186,14,618,604,-199,10,-209,NA,0,0,0,0,0,NA,NA
"587"," Greenwood"," MS","  South"," RED",-4849,828,5199,4371,-5752,57,-5809,-406,32,496,464,-439,-7,-432,NA,0,0,0,0,0,NA,NA
"588"," Greenwood"," SC","  South"," RED",1120,1101,7926,6825,58,773,-715,214,8,811,803,208,76,132,NA,0,0,0,0,0,NA,NA
"589"," Grenada"," MS","  South"," RED",-1140,-253,2482,2735,-876,-26,-850,-226,-41,247,288,-185,-3,-182,NA,0,0,0,0,0,NA,NA
"590"," Guymon"," OK","  South"," RED",-657,1889,3423,1534,-2596,817,-3413,-508,201,350,149,-714,61,-775,NA,0,0,0,0,0,NA,NA
"591"," Hailey"," ID","  West"," RED",1633,1065,2086,1021,566,868,-302,235,90,202,112,146,119,27,NA,0,0,0,0,0,NA,NA
"592"," Hannibal"," MO","  Midwest"," RED",-117,414,4295,3881,-503,109,-612,65,61,447,386,5,12,-7,NA,0,0,0,0,0,NA,NA
"593"," Harrison"," AR","  South"," RED",-50,-145,4841,4986,123,-77,200,0,-77,491,568,81,-11,92,NA,0,0,0,0,0,NA,NA
"594"," Hastings"," NE","  Midwest"," RED",-4,871,3745,2874,-863,366,-1229,-151,75,391,316,-227,59,-286,NA,0,0,0,0,0,NA,NA
"595"," Hays"," KS","  Midwest"," RED",101,934,3252,2318,-840,530,-1370,-93,46,294,248,-140,44,-184,NA,0,0,0,0,0,NA,NA
"596"," Heber"," UT","  West"," RED",16387,5403,7932,2529,10899,1322,9577,1279,564,868,304,711,155,556,NA,0,0,0,0,0,NA,NA
"597"," Helena"," MT","  West"," RED",6856,1433,7882,6449,5438,157,5281,937,56,847,791,883,-15,898,NA,0,0,0,0,0,NA,NA
"598"," Helena"," AR","  South"," RED",-3973,305,2759,2454,-4337,-25,-4312,-272,12,267,255,-285,-4,-281,NA,0,0,0,0,0,NA,NA
"599"," Henderson"," NC","  South"," RED",-873,577,5235,4658,-1451,173,-1624,-100,46,571,525,-145,32,-177,NA,0,0,0,0,0,NA,NA
"600"," Hereford"," TX","  South"," RED",-826,1765,3115,1350,-2622,184,-2806,-165,161,320,159,-327,-2,-325,NA,0,0,0,0,0,NA,NA
"601"," Hermiston"," OR","  West"," BLUE",2491,4351,11050,6699,-1843,278,-2121,772,363,1115,752,413,50,363,NA,0,0,0,0,0,NA,NA
"602"," Hillsdale"," MI","  Midwest"," RED",-1086,591,4981,4390,-1664,29,-1693,-97,29,509,480,-127,2,-129,NA,0,0,0,0,0,NA,NA
"603"," Hilo"," HI","  West"," BLUE",16437,6466,21947,15481,10050,4742,5308,4,234,2237,2003,-216,427,-643,NA,0,0,0,0,0,NA,NA
"604"," Hobbs"," NM","  West"," BLUE",6344,5350,10279,4929,919,1104,-185,1527,579,1086,507,945,22,923,NA,0,0,0,0,0,NA,NA
"605"," Holland"," MI","  Midwest"," RED",6681,3682,12481,8799,3069,574,2495,908,360,1285,925,553,49,504,NA,0,0,0,0,0,NA,NA
"606"," Hood River"," OR","  West"," BLUE",1036,906,2546,1640,139,25,114,115,79,250,171,36,1,35,NA,0,0,0,0,0,NA,NA
"607"," Hope"," AR","  South"," RED",-1823,643,3944,3301,-2474,-123,-2351,-209,56,393,337,-266,-16,-250,NA,0,0,0,0,0,NA,NA
"608"," Houghton"," MI","  Midwest"," RED",-981,137,3610,3473,-1141,1261,-2402,-233,-3,368,371,-232,64,-296,NA,0,0,0,0,0,NA,NA
"609"," Hudson"," NY","  Northeast"," BLUE",-3605,-1386,4849,6235,-2178,516,-2694,-324,-187,489,676,-135,43,-178,NA,0,0,0,0,0,NA,NA
"610"," Huntingdon"," PA","  Northeast"," RED",-856,-686,3647,4333,-132,283,-415,-251,-178,354,532,-72,35,-107,NA,0,0,0,0,0,NA,NA
"611"," Huntington"," IN","  Midwest"," RED",-603,111,3895,3784,-705,108,-813,277,21,411,390,258,20,238,NA,0,0,0,0,0,NA,NA
"612"," Huntsville"," TX","  South"," RED",5111,977,5746,4769,4100,1513,2587,-165,-1,592,593,-168,151,-319,NA,0,0,0,0,0,NA,NA
"613"," Huron"," SD","  Midwest"," RED",996,1072,3092,2020,-85,1621,-1706,17,103,305,202,-85,54,-139,NA,0,0,0,0,0,NA,NA
"614"," Hutchinson"," KS","  Midwest"," RED",-2513,-250,6619,6869,-2229,229,-2458,-333,-29,670,699,-302,38,-340,NA,0,0,0,0,0,NA,NA
"615"," Hutchinson"," MN","  Midwest"," BLUE",-752,713,3792,3079,-1475,138,-1613,66,47,372,325,22,5,17,NA,0,0,0,0,0,NA,NA
"616"," Indiana"," PA","  Northeast"," RED",-4812,-894,7555,8449,-3912,643,-4555,-368,-136,760,896,-231,50,-281,NA,0,0,0,0,0,NA,NA
"617"," Indianola"," MS","  South"," RED",-4273,151,2955,2804,-4515,43,-4558,-1101,-32,275,307,-1078,3,-1081,NA,0,0,0,0,0,NA,NA
"618"," Iron Mountain"," MI","  Midwest"," RED",-1057,-776,2562,3338,-268,-7,-261,-131,-87,265,352,-42,-2,-40,NA,0,0,0,0,0,NA,NA
"619"," Jackson"," OH","  Midwest"," RED",-806,99,3890,3791,-898,133,-1031,47,7,408,401,42,12,30,NA,0,0,0,0,0,NA,NA
"620"," Jackson"," WY","  West"," RED",4143,2557,3663,1106,1536,706,830,686,245,363,118,437,94,343,NA,0,0,0,0,0,NA,NA
"621"," Jacksonville"," IL","  Midwest"," BLUE",-2291,-375,3824,4199,-1907,378,-2285,-345,-40,398,438,-306,50,-356,NA,0,0,0,0,0,NA,NA
"622"," Jacksonville"," TX","  South"," RED",1812,1996,6916,4920,-141,156,-297,265,169,722,553,97,3,94,NA,0,0,0,0,0,NA,NA
"623"," Jamestown"," ND","  Midwest"," RED",-396,-59,2134,2193,-326,128,-454,-171,9,223,214,-181,8,-189,NA,0,0,0,0,0,NA,NA
"624"," Jamestown"," NY","  Northeast"," BLUE",-8004,-674,12718,13392,-7370,1524,-8894,-569,-116,1282,1398,-450,21,-471,NA,0,0,0,0,0,NA,NA
"625"," Jasper"," AL","  South"," RED",-3499,-1956,7318,9274,-1495,108,-1603,-148,-219,750,969,74,-1,75,NA,0,0,0,0,0,NA,NA
"626"," Jasper"," IN","  Midwest"," RED",539,1279,6337,5058,-720,644,-1364,63,136,690,554,-72,112,-184,NA,0,0,0,0,0,NA,NA
"627"," Jefferson"," GA","  South"," RED",12516,2353,7545,5192,10117,213,9904,2652,304,918,614,2337,26,2311,NA,0,0,0,0,0,NA,NA
"628"," Jennings"," LA","  South"," RED",-224,431,3908,3477,-640,41,-681,-169,-26,384,410,-143,6,-149,NA,0,0,0,0,0,NA,NA
"629"," Jesup"," GA","  South"," RED",-170,533,3631,3098,-722,109,-831,117,2,360,358,116,8,108,NA,0,0,0,0,0,NA,NA
"630"," Juneau"," AK","  West"," RED",698,1767,3479,1712,-1073,617,-1690,-63,163,340,177,-227,20,-247,NA,0,0,0,0,0,NA,NA
"631"," Kalispell"," MT","  West"," RED",12879,2377,10303,7926,10453,30,10423,1789,196,1113,917,1587,-42,1629,NA,0,0,0,0,0,NA,NA
"632"," Kapaa"," HI","  West"," BLUE",5198,2469,7902,5433,2788,2802,-14,125,90,794,704,39,269,-230,NA,0,0,0,0,0,NA,NA
"633"," Kearney"," NE","  Midwest"," RED",3566,3205,7095,3890,380,728,-348,263,281,712,431,-15,37,-52,NA,0,0,0,0,0,NA,NA
"634"," Keene"," NH","  Northeast"," BLUE",-1037,-368,6223,6591,-631,565,-1196,184,-82,636,718,269,52,217,NA,0,0,0,0,0,NA,NA
"635"," Kendallville"," IN","  Midwest"," RED",206,1497,5629,4132,-1275,-3,-1272,201,177,632,455,27,15,12,NA,0,0,0,0,0,NA,NA
"636"," Kennett"," MO","  Midwest"," RED",-2826,-109,3946,4055,-2732,195,-2927,-347,-90,357,447,-258,29,-287,NA,0,0,0,0,0,NA,NA
"637"," Kerrville"," TX","  South"," RED",2956,-1875,4812,6687,4829,325,4504,185,-217,530,747,403,29,374,NA,0,0,0,0,0,NA,NA
"638"," Ketchikan"," AK","  West"," RED",375,677,1540,863,-305,358,-663,45,65,153,88,-18,24,-42,NA,0,0,0,0,0,NA,NA
"639"," Key West"," FL","  South"," RED",1138,190,6687,6497,931,3279,-2348,-529,-51,685,736,-477,273,-750,NA,0,0,0,0,0,NA,NA
"640"," Kill Devil Hills"," NC","  South"," RED",3089,208,3233,3025,2876,244,2632,402,-28,332,360,430,40,390,NA,0,0,0,0,0,NA,NA
"641"," Kingsville"," TX","  South"," RED",-1390,1768,4171,2403,-3210,876,-4086,-75,163,408,245,-239,50,-289,NA,0,0,0,0,0,NA,NA
"642"," Kinston"," NC","  South"," RED",-3558,-625,5994,6619,-2923,261,-3184,-41,-160,608,768,122,42,80,NA,0,0,0,0,0,NA,NA
"643"," Kirksville"," MO","  Midwest"," RED",-34,577,3044,2467,-613,828,-1441,-67,101,343,242,-169,101,-270,NA,0,0,0,0,0,NA,NA
"644"," Klamath Falls"," OR","  West"," BLUE",1854,234,7360,7126,1647,85,1562,551,-67,767,834,618,-2,620,NA,0,0,0,0,0,NA,NA
"645"," Laconia"," NH","  Northeast"," BLUE",1228,-1440,4828,6268,2721,493,2228,158,-297,478,775,460,28,432,NA,0,0,0,0,0,NA,NA
"646"," La Grande"," OR","  West"," BLUE",1091,278,2743,2465,822,178,644,134,-3,277,280,137,11,126,NA,0,0,0,0,0,NA,NA
"647"," LaGrange"," GA","  South"," RED",1967,1463,11966,10503,560,944,-384,-502,36,1240,1204,-542,100,-642,NA,0,0,0,0,0,NA,NA
"648"," Lake City"," FL","  South"," RED",4160,117,7437,7320,4042,297,3745,1018,-59,804,863,1069,4,1065,NA,0,0,0,0,0,NA,NA
"649"," Lamesa"," TX","  South"," RED",-1105,447,1710,1263,-1597,162,-1759,123,54,181,127,70,10,60,NA,0,0,0,0,0,NA,NA
"650"," Laramie"," WY","  West"," RED",2581,1911,3659,1748,660,1526,-866,152,143,341,198,6,259,-253,NA,0,0,0,0,0,NA,NA
"651"," Las Vegas"," NM","  West"," BLUE",-2458,113,3098,2985,-2603,551,-3154,-169,-31,277,308,-139,41,-180,NA,0,0,0,0,0,NA,NA
"652"," Laurel"," MS","  South"," RED",-360,2015,10788,8773,-2345,130,-2475,-140,66,1065,999,-203,18,-221,NA,0,0,0,0,0,NA,NA
"653"," Laurinburg"," NC","  South"," RED",-1337,481,4177,3696,-1827,144,-1971,72,9,436,427,66,13,53,NA,0,0,0,0,0,NA,NA
"654"," Lawrenceburg"," TN","  South"," RED",2286,374,5275,4901,1928,24,1904,371,46,585,539,326,-5,331,NA,0,0,0,0,0,NA,NA
"655"," Lebanon"," MO","  Midwest"," RED",127,708,4388,3680,-576,-34,-542,127,78,474,396,51,-2,53,NA,0,0,0,0,0,NA,NA
"656"," Lebanon"," NH","  Northeast"," BLUE",-1486,-1915,17387,19302,591,2821,-2230,79,-326,1755,2081,419,161,258,NA,0,0,0,0,0,NA,NA
